Network,Gas,Electricity
WERKENDAM,399453,1097771
SLEEUWIJK,209642,498071
"NIEUWENDIJK NB",124138,296671
"WIJK EN AALBURG",218070,587196
VEEN,104867,288856
GENDEREN,66465,179379
EETHEN,31023,103203
DRONGELEN,19449,59362
MEEUWEN,27374,73665
BABYLONIENBROEK,14566,63281
DUSSEN,100554,295674
HANK,134966,362367
ANDEL,93182,253216
GIESSEN,63148,181103
"RIJSWIJK NB",62530,156394
WOUDRICHEM,165915,413371
ALMKERK,142265,390742
WAARDHUIZEN,12894,32768
UITWIJK,13633,41993
"BERGEN OP ZOOM",1636509,4347432
HOOGERHEIDE,358989,877131
WOENSDRECHT,54616,129899
HUIJBERGEN,89169,222138
OSSENDRECHT,219377,512684
PUTTE,183288,386031
"STEENBERGEN NB",422251,1124736
"DE HEEN",25521,96890
HALSTEREN,411452,990426
LEPELSTRAAT,85235,217723
DINTELOORD,189694,497627
NIEUW-VOSSEMEER,87171,224427
ROOSENDAAL,2270904,5608330
NISPEN,53493,116279
"ST. WILLEBRORD",411156,912678
SPRUNDEL,230222,614810
RUCPHEN,183264,547090
SCHIJF,58636,214081
WOUW,189169,458972
"WOUWSE PLANTAGE",49268,223499
HEERLE,81814,204476
MOERSTRATEN,22378,101417
OUDENBOSCH,476547,1143337
ZEGGE,92863,243845
HOEVEN,254492,687536
BOSSCHENHOOFD,104924,279951
"OUD GASTEL",298761,761330
STAMPERSGAT,55732,124430
KRUISLAND,94766,297084
STANDDAARBUITEN,85282,222067
NOORDHOEK,36486,90935
ZEVENBERGEN,503358,1317596
"ZEVENBERGSCHEN HOEK",64191,153416
"ZEVENBERGSCHEN HOEK DRI",3338,12198
LANGEWEG,26362,75514
MOERDIJK,63761,157619
KLUNDERT,220522,547615
FIJNAART,209790,569530
HEIJNINGEN,48271,162131
"OUDEMOLEN NB",9937,42452
"WILLEMSTAD NB",140276,344432
BREDA,3802554,11825999
PRINSENBEEK,421373,1046969
TERHEIJDEN,222103,633763
WAGENBERG,97973,256427
TETERINGEN,242789,577453
DORST,99518,260716
ULVENHOUT,231697,470938
BAVEL,248265,672425
GALDER,41231,129453
STRIJBEEK,14407,54236
"ULVENHOUT AC",26411,85706
CHAAM,175345,501262
ETTEN-LEUR,1230934,3497369
ZUNDERT,342548,808128
"KLEIN ZUNDERT",83938,267900
WERNHOUT,84941,217844
ACHTMAAL,85032,248093
RIJSBERGEN,244130,645625
"OOSTERHOUT NB",1537862,4278949
OOSTEIND,57936,192275
"DEN HOUT NB",46221,131316
MADE,399042,1115497
DRIMMELEN,28217,81643
"LAGE ZWALUWE",155288,372041
"HOOGE ZWALUWE",63326,198381
GEERTRUIDENBERG,174342,526728
RAAMSDONKSVEER,482978,1295352
RAAMSDONK,84055,251522
TILBURG,4068611,13464430
GOIRLE,658145,1771556
BERKEL-ENSCHOT,430542,1054537
"HEUKELOM NB",20427,67769
OISTERWIJK,781619,2215015
MOERGESTEL,247115,649669
UDENHOUT,294625,776671
BIEZENMORTEL,41577,161054
HAAREN,224912,688624
HILVARENBEEK,345937,980076
BIEST-HOUTAKKER,45797,130244
ESBEEK,60945,208603
DIESSEN,136134,406672
HAGHORST,30888,108326
DONGEN,760046,2036541
"'S GRAVENMOER",93020,216509
BAARLE-NASSAU,260894,727181
ULICOTEN,56945,169615
CASTELRE,6687
RIJEN,509406,1409362
MOLENSCHOT,41512,172087
HULTEN,16599,76358
GILZE,275442,798057
"ALPHEN NB",190896,613295
RIEL,115840,306428
WAALWIJK,1140764,3074663
DRUNEN,604339,1527657
ELSHOUT,82428,267249
SPRANG-CAPELLE,363244,938627
WASPIK,183984,487693
KAATSHEUVEL,547451,1439439
"LOON OP ZAND",190330,522296
"DE MOER",32813,99455
'S-HERTOGENBOSCH,3419170,9323463
ROSMALEN,1135213,3020666
VLIJMEN,473626,1223458
NIEUWKUIJK,107953,298030
HAARSTEEG,78160,213747
"HEUSDEN GEM HEUSDEN",213238,575775
"BERLICUM NB",399505,1018486
VUGHT,2104,2218673
HELVOIRT,196586,567652
SINT-MICHIELSGESTEL,455798,1149412
"DEN DUNGEN",172058,394044
BOXTEL,850242,2192058
GEMONDE,93543,257032
ESCH,79009,193120
LIEMPDE,192948,534560
OSS,2011413,5088696
BERGHEM,299414,763523
MEGEN,64499,166067
MACHAREN,36223,95367
"HAREN NB",30316,74965
RAVENSTEIN,223117,554534
HERPEN,124492,328627
VINKEL,91683,286047
HEESCH,440342,1089030
GEFFEN,187079,478887
NULAND,161875,458575
OIJEN,51469,165030
TEEFFELEN,11509,44652
LITHOIJEN,41814,149329
LITH,112478,279667
MAREN-KESSEL,51663,175777
SCHIJNDEL,2958,2194451
VALKENSWAARD,1223638,3107000
WESTERHOVEN,2434,249660
BERGEIJK,436559,1271778
LEENDE,2236,539624
GELDROP,1017562,2617044
GRIENDTSVEEN,22133,53161
MEIJEL,280370,781779
VENRAY,938765,2455316
"OOSTRUM LB",76152,209804
OIRLO,53254,157875
LEUNEN,106941,382026
CASTENRAY,32950,109457
HEIDE,24387,93576
"YSSELSTEYN LB",135095,581168
VEULEN,24080,159117
MERSELO,31653,111063
VREDEPEEL,3261,65194
SMAKT,8322,87621
"AFFERDEN LB",87819,223690
SIEBENGEWALD,71424,310059
"BERGEN LB",208009,524260
"WELL LB",111073,297789
WELLERLOOI,51813,167017
WANSSUM,87822,207426
GEIJSTEREN,18812,55608
BLITTERSWIJCK,50152,133543
MEERLO,76816,212914
TIENRAY,50771,125402
SWOLGEN,55974,157503
BROEKHUIZENVORST,47861,118262
"BROEKHUIZEN LB",37924,83571
VENLO,2329118,5930874
TEGELEN,509775,1197046
STEYL,139153,272442
VELDEN,211746,503198
LOMM,42369,102861
ARCEN,128611,296154
BELFELD,173147,464772
REUVER,364856,855481
BEESEL,97618,223141
HORST,484207,1356997
MELDERSLO,75734,219483
HEGELSOM,75837,185118
METERIK,68502,188642
AMERICA,80749,302058
GRUBBENVORST,195512,471882
LOTTUM,105371,255609
SEVENUM,265982,766081
KRONENBERG,48993,137550
EVERTSOORD,15135,66667
PANNINGEN,326612,882087
KONINGSLUST,41497,124964
GRASHOEK,60641,210628
BERINGE,87600,304673
EGCHEL,35816,116694
HELDEN,231612,600107
"BAARLO LB",244046,654617
MAASBREE,238190,623753
"KESSEL LB",201131,576181
WEERT,1268,11152
ELL,50460,202258
HALER,21673,73386
HUNSEL,57196,142151
ITTERVOORT,104177,252266
